Date,Volume,Sentiment,y
2009-03-10,640020000,1,6926.490234000001
2009-03-11,524430000,1,6930.399901999999
2009-03-12,488690000,1,7170.060059
2009-03-13,479010000,1,7223.97998
2009-03-16,586970000,0,7216.970215
2009-03-17,391880000,1,7395.700195
2009-03-18,584110000,1,7486.580078
2009-03-19,559920000,0,7400.799805
2009-03-20,672950000,0,7278.379883
2009-03-23,515600000,1,7775.859863
2009-03-24,379670000,0,7659.970215
2009-03-25,454090000,1,7749.810059
2009-03-26,397260000,1,7924.560059
2009-03-27,323650000,0,7776.180176000001
2009-03-30,383260000,0,7522.02002
2009-03-31,399840000,1,7608.919922
2009-04-01,361340000,1,7761.600098000001
2009-04-02,442820000,1,7978.080078
2009-04-03,308210000,1,8017.589844
2009-04-06,247400000,0,7975.850098000001
2009-04-07,276920000,0,7789.560059
2009-04-08,255350000,1,7837.109863
2009-04-09,462060000,1,8083.379883
2009-04-13,424250000,0,8057.810059
2009-04-14,513010000,0,7920.180176000001
2009-04-15,413280000,1,8029.620117
2009-04-16,359470000,1,8125.430176000001
2009-04-17,537670000,1,8131.330078
2009-04-20,453660000,0,7841.72998
2009-04-21,424030000,1,7969.560059
2009-04-22,387030000,0,7886.569823999999
2009-04-23,327240000,1,7957.060059
2009-04-24,402720000,1,8076.290039
2009-04-27,282990000,0,8025.0
2009-04-28,274710000,0,8016.950195
2009-04-29,300340000,1,8185.72998
2009-04-30,341400000,0,8168.120117
2009-05-01,237360000,1,8212.410156
2009-05-04,354490000,1,8426.740234
2009-05-05,311490000,0,8410.650391
2009-05-06,454480000,1,8512.280273
2009-05-07,476640000,0,8409.849609
2009-05-08,428420000,1,8574.650391
2009-05-11,332630000,0,8418.769531
2009-05-12,334840000,1,8469.110352
2009-05-13,336930000,0,8284.889648
2009-05-14,323800000,1,8331.320312
2009-05-15,308820000,0,8268.639648
2009-05-18,288280000,1,8504.080078
2009-05-19,277710000,0,8474.849609
2009-05-20,468640000,0,8422.040039
2009-05-21,302280000,0,8292.129883
2009-05-22,244190000,0,8277.320312
2009-05-26,314760000,1,8473.490234
2009-05-27,285990000,0,8300.019531
2009-05-28,290730000,1,8403.799805
2009-05-29,361910000,1,8500.330078
2009-06-01,354830000,1,8721.44043
2009-06-02,257560000,1,8740.870117
2009-06-03,252160000,0,8675.240234
2009-06-04,237800000,1,8750.240234
2009-06-05,254970000,1,8763.129883
2009-06-08,189630000,1,8764.490234
2009-06-09,187930000,0,8763.05957
2009-06-10,219920000,0,8739.019531
2009-06-11,249900000,1,8770.919922
2009-06-12,164020000,1,8799.259766
2009-06-15,230220000,0,8612.129883
2009-06-16,240690000,0,8504.669922
2009-06-17,237870000,0,8497.179688
2009-06-18,220050000,1,8555.599609
2009-06-19,528710000,0,8539.730469
2009-06-22,291240000,0,8339.009766
2009-06-23,237150000,0,8322.910156
2009-06-24,189430000,0,8299.860352
2009-06-25,222540000,1,8472.400391
2009-06-26,307640000,0,8438.389648
2009-06-29,216480000,1,8529.379883
2009-06-30,233340000,0,8447.0
2009-07-01,184600000,1,8504.05957
2009-07-02,157800000,0,8280.740234
2009-07-06,206900000,1,8324.870117
2009-07-07,210880000,0,8163.600098000001
2009-07-08,325250000,1,8178.410156
2009-07-09,192660000,1,8183.169922
2009-07-10,174260000,0,8146.52002
2009-07-13,253520000,1,8331.679688
2009-07-14,189170000,1,8359.490234
2009-07-15,305000000,1,8616.209961
2009-07-16,216580000,1,8711.820312
2009-07-17,301410000,1,8743.94043
2009-07-20,213730000,1,8848.150391
2009-07-21,218910000,1,8915.94043
2009-07-22,199010000,0,8881.259766
2009-07-23,274760000,1,9069.290039
2009-07-24,214310000,1,9093.240234
2009-07-27,176830000,1,9108.509766
2009-07-28,198270000,0,9096.719727
2009-07-29,190510000,0,9070.719727
2009-07-30,232410000,1,9154.459961
2009-07-31,265570000,1,9171.610352
2009-08-03,221690000,1,9286.55957
2009-08-04,195990000,1,9320.19043
2009-08-05,236610000,0,9280.969727
2009-08-06,244450000,0,9256.259766
2009-08-07,216600000,1,9370.070312
2009-08-10,161370000,0,9337.950195
2009-08-11,171380000,0,9241.450195
2009-08-12,197420000,1,9361.610352
2009-08-13,145620000,1,9398.19043
2009-08-14,172780000,0,9321.400391
2009-08-17,207100000,0,9135.339844
2009-08-18,158530000,1,9217.94043
2009-08-19,176910000,1,9279.160156
2009-08-20,151740000,1,9350.049805
2009-08-21,293530000,1,9505.959961
2009-08-24,190590000,1,9509.280273
2009-08-25,173890000,1,9539.290039
2009-08-26,154660000,1,9543.519531
2009-08-27,163980000,1,9580.629883
2009-08-28,205770000,0,9544.200195
2009-08-31,201600000,0,9496.280273
2009-09-01,267680000,0,9310.599609
2009-09-02,175200000,0,9280.669922
2009-09-03,168750000,1,9344.610352
2009-09-04,152400000,1,9441.269531
2009-09-08,202370000,1,9497.339844
2009-09-09,190820000,1,9547.219727
2009-09-10,234130000,1,9627.480469
2009-09-11,196760000,0,9605.410156
2009-09-14,196480000,1,9626.799805
2009-09-15,224030000,1,9683.410156
2009-09-16,241270000,1,9791.709961
2009-09-17,225470000,0,9783.919922
2009-09-18,424930000,1,9820.200195
2009-09-21,172830000,0,9778.860352
2009-09-22,194620000,1,9829.870117
2009-09-23,233330000,0,9748.549805
2009-09-24,201890000,0,9707.44043
2009-09-25,189350000,0,9665.19043
2009-09-28,163780000,1,9789.360352
2009-09-29,154000000,0,9742.200195
2009-09-30,268390000,0,9712.280273
2009-10-01,266990000,0,9509.280273
2009-10-02,219750000,0,9487.669922
2009-10-05,173850000,1,9599.75
2009-10-06,206020000,1,9731.25
2009-10-07,167650000,0,9725.580078
2009-10-08,209580000,1,9786.870117
2009-10-09,161120000,1,9864.94043
2009-10-12,158850000,1,9885.799805
2009-10-13,211510000,0,9871.05957
2009-10-14,284810000,1,10015.860352
2009-10-15,252480000,1,10062.94043
2009-10-16,307770000,0,9995.910156
2009-10-19,186240000,1,10092.19043
2009-10-20,214500000,0,10041.480469
2009-10-21,251050000,0,9949.360352
2009-10-22,231900000,1,10081.30957
2009-10-23,305670000,0,9972.179688
2009-10-26,270050000,0,9867.959961
2009-10-27,237060000,1,9882.169922
2009-10-28,257370000,0,9762.69043
2009-10-29,248950000,1,9962.580078
2009-10-30,327980000,0,9712.730469
2009-11-02,242460000,1,9789.44043
2009-11-03,231520000,0,9771.910156
2009-11-04,224130000,1,9802.139648
2009-11-05,211040000,1,10005.959961
2009-11-06,181010000,1,10023.419922
2009-11-09,227470000,1,10226.94043
2009-11-10,193950000,1,10246.969727
2009-11-11,166920000,1,10291.259766
2009-11-12,183810000,0,10197.469727
2009-11-13,167280000,1,10270.469727
2009-11-16,202570000,1,10406.959961
2009-11-17,158320000,1,10437.419922
2009-11-18,166340000,0,10426.30957
2009-11-19,196250000,0,10332.44043
2009-11-20,230430000,0,10318.160156
2009-11-23,182350000,1,10450.950195
2009-11-24,163750000,0,10433.709961
2009-11-25,130080000,1,10464.400391
2009-11-27,130290000,0,10309.919922
2009-11-30,223580000,1,10344.839844
2009-12-01,190220000,1,10471.580078
2009-12-02,159500000,0,10452.679688
2009-12-03,243970000,0,10366.150391
2009-12-04,460660000,1,10388.900391
2009-12-07,196580000,1,10390.110352
2009-12-08,221770000,0,10285.969727
2009-12-09,188610000,1,10337.049805
2009-12-10,195910000,1,10405.830078
2009-12-11,179970000,1,10471.5
2009-12-14,154360000,1,10501.049805
2009-12-15,187560000,0,10452.0
2009-12-16,208310000,0,10441.120117
2009-12-17,198860000,0,10308.259766
2009-12-18,480080000,1,10328.889648
2009-12-21,164470000,1,10414.139648
2009-12-22,135080000,1,10464.929688
2009-12-23,112460000,1,10466.44043
2009-12-24,52670000,1,10520.089844
2009-12-28,102010000,1,10547.080078
2009-12-29,92890000,0,10545.410156
2009-12-30,110160000,1,10548.509766
2009-12-31,137940000,0,10428.049805
2010-01-04,179780000,1,10583.959961
2010-01-05,188540000,0,10572.019531
2010-01-06,186040000,1,10573.679688
2010-01-07,217390000,1,10606.860352
2010-01-08,172710000,1,10618.19043
2010-01-11,182050000,1,10663.990234
2010-01-12,256050000,0,10627.259766
2010-01-13,202810000,1,10680.769531
2010-01-14,201320000,1,10710.549805
2010-01-15,362930000,0,10609.650391
2010-01-19,192150000,1,10725.429688
2010-01-20,203270000,0,10603.150391
2010-01-21,304290000,0,10389.879883
2010-01-22,323620000,0,10172.980469
2010-01-25,215330000,1,10196.860352
2010-01-26,217300000,0,10194.290039
2010-01-27,262170000,1,10236.160156
